"MSOA";"Sex";"Age";"Persons"
"E02000869";"F";52;20
"E02000869";"M";53;24
"E02000869";"F";53;16
"E02000869";"M";54;23
"E02000869";"F";54;26
"E02000869";"M";55;17
"E02000869";"F";55;26
"E02000869";"M";56;18
"E02000869";"F";56;17
"E02000869";"M";57;22
"E02000869";"F";57;12
"E02000869";"M";58;23
"E02000869";"F";58;20
"E02000869";"M";59;16
"E02000869";"F";59;26
"E02000869";"M";60;19
"E02000869";"F";60;19
"E02000869";"M";61;11
"E02000869";"F";61;16
"E02000869";"M";62;21
"E02000869";"F";62;22
"E02000869";"M";63;18
"E02000869";"F";63;14
"E02000869";"M";64;18
"E02000869";"F";64;14
"E02000869";"M";65;14
"E02000869";"F";65;14
"E02000869";"M";66;16
"E02000869";"F";66;9
"E02000869";"M";67;12
"E02000869";"F";67;8
"E02000869";"M";68;10
"E02000869";"F";68;15
"E02000869";"M";69;10
"E02000869";"F";69;7
"E02000869";"M";70;12
"E02000869";"F";70;11
"E02000869";"M";71;9
"E02000869";"F";71;13
"E02000869";"M";72;13
"E02000869";"F";72;10
"E02000869";"M";73;12
"E02000869";"F";73;21
"E02000869";"M";74;16
"E02000869";"F";74;12
"E02000869";"M";75;10
"E02000869";"F";75;8
"E02000869";"M";76;8
"E02000869";"F";76;15
"E02000869";"M";77;10
"E02000869";"F";77;10
"E02000869";"M";78;12
"E02000869";"F";78;13
"E02000869";"M";79;8
"E02000869";"F";79;15
"E02000869";"M";80;13
"E02000869";"F";80;15
"E02000869";"M";81;5
"E02000869";"F";81;10
"E02000869";"M";82;4
"E02000869";"F";82;8
"E02000869";"M";83;5
"E02000869";"F";83;8
"E02000869";"M";84;5
"E02000869";"F";84;4
"E02000869";"M";85;19
"E02000869";"F";85;43
"E02000870";"M";0;51
"E02000870";"F";0;34
"E02000870";"M";1;41
"E02000870";"F";1;37
"E02000870";"M";2;61
"E02000870";"F";2;30
"E02000870";"M";3;42
"E02000870";"F";3;21
"E02000870";"M";4;53
"E02000870";"F";4;35
"E02000870";"M";5;50
"E02000870";"F";5;53
"E02000870";"M";6;60
"E02000870";"F";6;40
"E02000870";"M";7;43
"E02000870";"F";7;39
"E02000870";"M";8;32
"E02000870";"F";8;34
"E02000870";"M";9;39
"E02000870";"F";9;48
"E02000870";"M";10;28
"E02000870";"F";10;29
"E02000870";"M";11;39
"E02000870";"F";11;44
"E02000870";"M";12;39
"E02000870";"F";12;33
"E02000870";"M";13;31
"E02000870";"F";13;43
"E02000870";"M";14;39
"E02000870";"F";14;43
"E02000870";"M";15;40
"E02000870";"F";15;38
"E02000870";"M";16;34
"E02000870";"F";16;31
"E02000870";"M";17;39
"E02000870";"F";17;33
